model,run,step,subject,rank_mean,rank_median,rank_max,rank_min
LM,1,5,M02,38.020833333333336,15.0,335.0,0.0
LM,1,5,M04,60.078125,34.0,371.0,0.0
LM,1,5,M07,48.2890625,23.5,376.0,0.0
LM,1,5,M08,62.015625,31.5,368.0,0.0
LM,1,5,M09,58.705729166666664,30.5,379.0,0.0
LM,1,5,M14,71.77083333333333,37.0,365.0,0.0
LM,1,5,M15,51.1328125,24.0,359.0,0.0
LM,1,5,P01,33.6015625,15.0,338.0,0.0
LM,1,10,M02,37.895833333333336,13.5,325.0,0.0
LM,1,10,M04,54.3671875,25.0,376.0,0.0
LM,1,10,M07,43.9921875,19.0,379.0,0.0
LM,1,10,M08,55.221354166666664,27.5,377.0,0.0
LM,1,10,M09,59.0703125,31.5,380.0,0.0
LM,1,10,M14,70.02083333333333,37.5,375.0,0.0
LM,1,10,M15,46.526041666666664,24.0,376.0,0.0
LM,1,10,P01,30.981770833333332,15.0,308.0,0.0
LM,1,15,M02,102.74739583333333,72.5,383.0,0.0
LM,1,15,M04,128.57291666666666,109.0,379.0,0.0
LM,1,15,M07,118.72916666666667,90.0,376.0,0.0
LM,1,15,M08,121.3828125,83.5,379.0,0.0
LM,1,15,M09,118.45833333333333,91.0,371.0,0.0
LM,1,15,M14,133.18489583333334,117.5,382.0,0.0
LM,1,15,M15,120.51822916666667,90.5,383.0,0.0
LM,1,15,P01,93.39583333333333,62.0,383.0,0.0
LM,1,20,M02,112.65364583333333,81.5,376.0,0.0
LM,1,20,M04,118.37760416666667,82.5,377.0,0.0
LM,1,20,M07,107.1953125,70.0,366.0,0.0
LM,1,20,M08,126.44010416666667,99.5,379.0,0.0
LM,1,20,M09,128.19270833333334,100.0,376.0,0.0
LM,1,20,M14,130.00520833333334,111.5,376.0,0.0
LM,1,20,M15,119.67708333333333,92.0,383.0,0.0
LM,1,20,P01,104.375,71.0,374.0,0.0
LM,1,25,M02,50.6171875,25.0,333.0,0.0
LM,1,25,M04,66.76041666666667,39.5,344.0,0.0
LM,1,25,M07,53.6640625,29.0,329.0,0.0
LM,1,25,M08,68.84375,35.5,361.0,0.0
LM,1,25,M09,69.80208333333333,37.5,381.0,0.0
LM,1,25,M14,83.9453125,52.5,373.0,0.0
LM,1,25,M15,55.6640625,29.0,369.0,0.0
LM,1,25,P01,48.705729166666664,29.0,282.0,0.0
LM,1,30,M02,51.799479166666664,26.0,379.0,0.0
LM,1,30,M04,82.87760416666667,49.0,363.0,0.0
LM,1,30,M07,59.442708333333336,31.0,380.0,0.0
LM,1,30,M08,72.88802083333333,39.0,366.0,0.0
LM,1,30,M09,81.77864583333333,50.5,382.0,0.0
LM,1,30,M14,85.45572916666667,60.0,349.0,0.0
LM,1,30,M15,60.200520833333336,30.5,354.0,0.0
LM,1,30,P01,46.440104166666664,24.0,365.0,0.0
LM,1,35,M02,109.54947916666667,79.0,379.0,0.0
LM,1,35,M04,131.01302083333334,102.5,378.0,0.0
LM,1,35,M07,123.390625,92.5,383.0,0.0
LM,1,35,M08,128.22916666666666,99.0,382.0,0.0
LM,1,35,M09,139.80729166666666,115.0,381.0,0.0
LM,1,35,M14,138.03125,110.0,379.0,0.0
LM,1,35,M15,128.8671875,102.5,374.0,0.0
LM,1,35,P01,111.86458333333333,78.0,382.0,0.0
LM,1,40,M02,115.28125,80.0,366.0,0.0
LM,1,40,M04,133.25520833333334,115.5,379.0,0.0
LM,1,40,M07,134.140625,113.5,383.0,0.0
LM,1,40,M08,134.28125,102.5,381.0,0.0
LM,1,40,M09,140.109375,117.0,382.0,0.0
LM,1,40,M14,141.234375,114.5,381.0,0.0
LM,1,40,M15,140.87239583333334,126.0,383.0,0.0
LM,1,40,P01,116.91145833333333,88.5,377.0,0.0
LM,1,45,M02,113.26041666666667,78.0,379.0,0.0
LM,1,45,M04,133.15625,111.5,380.0,0.0
LM,1,45,M07,128.59375,103.0,383.0,0.0
LM,1,45,M08,131.10416666666666,105.5,377.0,0.0
LM,1,45,M09,142.08333333333334,122.5,383.0,0.0
LM,1,45,M14,146.63541666666666,125.0,379.0,0.0
LM,1,45,M15,133.79166666666666,115.5,382.0,0.0
LM,1,45,P01,113.8046875,87.0,383.0,0.0
LM,1,50,M02,105.09635416666667,82.0,374.0,0.0
LM,1,50,M04,121.71875,95.0,371.0,0.0
LM,1,50,M07,119.86197916666667,100.0,382.0,0.0
LM,1,50,M08,123.86458333333333,89.0,383.0,0.0
LM,1,50,M09,132.8515625,109.0,383.0,0.0
LM,1,50,M14,135.56510416666666,112.5,380.0,0.0
LM,1,50,M15,121.8125,97.0,383.0,0.0
